"filename", "language", "Markdown", "YAML", "XML", "Java Properties", "Java", "JSON", "PostCSS", "Shell Script", "Batch", "C#", "HTML", "comment", "blank", "total"
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\notification\AddNotificationRequestEventTest.java", "Java", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 21, 10, 50
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\prefix\PrefixFieldTest.java", "Java", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 21, 10, 90
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\prefix\PrefixPaneTest.java", "Java", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 21, 18, 145
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\LoadingStatusIndicatorUpdaterTest.java", "Java", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 21, 14, 100
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\PasswordFieldPopupTest.java", "Java", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 21, 8, 86
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\ShowPasswordFieldPopupRequestTest.java", "Java", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 21, 7, 52
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\FileColumnTest.java", "Java", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 22, 9, 79
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\IntegerColumnTest.java", "Java", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 21, 10, 65
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\LoadingColumnTest.java", "Java", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 22, 10, 73
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\LongColumnTest.java", "Java", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 22, 11, 76
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\MockFileExplorer.java", "Java", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 18, 19, 92
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\MultipleSelectionPaneTest.java", "Java", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 18, 9, 105
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\PaceColumnTest.java", "Java", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 22, 7, 52
"d:\UCI MSWE\261P\pdfsam\pdfsam-ui-components\src\test\java\org\pdfsam\ui\components\selection\multiple\PageRangesColumnTest.java", "Java", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 22, 9, 55
